ecs3,timestamp,name,serialnumber,delivereddate,delivered,firmwareversion,pt,t1,t0,hts2,ecs1,rbs0,ras0,ecs4,ecs2,ecs13,ics12,ics11,ics13,ics15,ics9,ics3,ics2,ics1,ifs28,ifs29,ifs27,ifs6,ifs18,ifs4,ifs3,ifs2,ifs1,hts4,id,partition_0,partition_1,partition_2,partition_3
,1593489552,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 3:59:12.355,1.59349E+12,1,PIF0,,,,,,,1.26,-58,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489556,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 3:59:16.590,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489563,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 3:59:23.386,1.59349E+12,1,PIF0,,,,,,,1.26,-59,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489567,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 3:59:28.071,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489574,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 3:59:34.374,1.59349E+12,1,PIF0,,,,,,,1.26,-58,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489578,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 3:59:38.708,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489585,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 3:59:45.320,1.59349E+12,1,PIF0,,,,,,,1.26,-59,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489589,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 3:59:50.175,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489596,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 3:59:56.369,1.59349E+12,1,PIF0,,,,,,,1.26,-59,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489600,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:00:00.907,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489607,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:00:07.328,1.59349E+12,1,PIF0,,,,,,,1.26,-61,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489612,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:00:12.296,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489618,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:00:18.363,1.59349E+12,1,PIF0,,,,,,,1.26,-61,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489622,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:00:22.953,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489629,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:00:29.343,1.59349E+12,1,PIF0,,,,,,,1.26,-61,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489633,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:00:33.643,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489640,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:00:40.359,1.59349E+12,1,PIF0,,,,,,,1.26,-59,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489644,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:00:45.101,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
